region,district,customers,avg_sales,median_sales,avg_orders,avg_emp,group
13,64098,28,19610.846071428572,13139.115000000002,70.17857142857143,6.964285714285714,ORSY
13,64117,170,2879.710411764706,935.275,17.211764705882352,5.017647058823529,Nicht-ORSY
13,64117,17,14273.847647058823,11595.51,80.17647058823529,7.352941176470588,ORSY
13,65002,147,2832.846462585034,805.63,17.537414965986393,5.244897959183674,Nicht-ORSY
13,65002,15,18466.226000000002,11367.25,71.33333333333333,6.333333333333333,ORSY
13,66789,83,3464.4818072289154,760.57,10.855421686746988,2.927710843373494,Nicht-ORSY
13,66789,17,25713.112352941174,12662.98,73.52941176470588,5.882352941176471,ORSY
13,67035,13,1871.823076923077,1251.23,20.692307692307693,0.9230769230769231,Nicht-ORSY
13,68063,207,2289.804106280193,699.2,15.405797101449275,5.019323671497585,Nicht-ORSY
13,68063,16,22630.625625,13560.575,121.875,10.0,ORSY
13,70013,2,1832.54,1832.54,19.0,5.5,Nicht-ORSY
14,60295,160,2024.6901874999999,521.54,8.65625,3.06875,Nicht-ORSY
14,60295,29,13191.310689655173,8548.42,54.0,4.620689655172414,ORSY
14,61041,132,2663.075984848485,845.615,15.242424242424242,8.856060606060606,Nicht-ORSY
14,61041,18,23673.754444444447,14939.984999999999,91.83333333333333,9.166666666666666,ORSY
14,61460,194,2907.482113402062,1072.645,18.329896907216494,4.201030927835052,Nicht-ORSY
14,61460,9,13032.41,9021.85,62.0,6.222222222222222,ORSY
14,61461,241,2798.515601659751,698.39,15.257261410788383,4.804979253112033,Nicht-ORSY
14,61461,23,26303.34956521739,16123.92,97.56521739130434,8.26086956521739,ORSY
14,62040,141,2615.4979432624114,908.18,17.347517730496453,3.141843971631206,Nicht-ORSY
14,62040,25,17593.0144,16928.82,93.72,4.24,ORSY
14,62211,225,2480.6897777777776,808.79,13.124444444444444,2.96,Nicht-ORSY
14,62211,12,17637.371666666666,8402.485,84.58333333333333,5.75,ORSY
14,63007,194,2600.415,903.74,16.943298969072163,4.824742268041237,Nicht-ORSY
14,63007,26,26161.87923076923,16506.73,116.26923076923077,7.269230769230769,ORSY
14,63085,171,2392.648128654971,899.14,15.883040935672515,3.695906432748538,Nicht-ORSY
14,63085,17,19180.613529411763,11510.18,68.47058823529412,9.176470588235293,ORSY
14,63298,1,163.26,163.26,1.0,1.0,Nicht-ORSY
14,63382,202,1875.39,470.66499999999996,10.564356435643564,4.074257425742574,Nicht-ORSY
14,63382,23,15303.488260869564,15318.26,64.95652173913044,5.869565217391305,ORSY
14,63427,126,3570.7692857142856,710.675,19.658730158730158,4.0396825396825395,Nicht-ORSY
14,63427,20,25565.0565,7203.655,97.75,6.65,ORSY
14,64088,221,1681.563891402715,518.96,11.900452488687783,3.669683257918552,Nicht-ORSY
14,64088,19,15256.934210526315,10737.64,62.0,6.526315789473684,ORSY
14,64092,165,3158.3284242424243,893.69,18.587878787878786,3.484848484848485,Nicht-ORSY
14,64092,21,23403.385238095238,15254.51,119.47619047619048,10.0,ORSY
14,64114,272,2315.965588235294,933.095,14.397058823529411,3.1948529411764706,Nicht-ORSY
