region,district,flag_new_orsyshelf,customers,avg_sales,avg_orders,avg_emp,share_salesrep,share_branch,share_ebusiness,share_internal,share_others
14,64092,Nicht-ORSY,165,3158.3284242424243,18.587878787878786,3.484848484848485,0.23663776044372778,0.6942292708893586,0.04707316469780747,0.0240200056217075,-0.001960201652601372
14,64092,ORSY,21,23403.385238095238,119.47619047619048,10.0,0.3087316871032635,0.5120662626792122,0.1514404941797179,0.028811293102868223,-0.0010497370650617405
14,64114,Nicht-ORSY,272,2315.965588235294,14.397058823529411,3.1948529411764706,0.2871533161993291,0.6236020901948115,0.043861716974131035,0.04640693143813763,-0.0010240548064092167
14,64114,ORSY,9,21267.433333333334,97.33333333333333,5.333333333333333,0.16767585809065363,0.6236244648204475,0.1579591965106861,0.06112420074914601,-0.010383720170933293
14,65014,Nicht-ORSY,2,356.83000000000004,2.0,3.0,0.4071619947567054,0.5,0.09283800524329464,0.0,0.0
14,67031,Nicht-ORSY,7,5547.085714285715,40.714285714285715,0.8571428571428571,0.0,1.0,0.0,0.0,0.0
14,68139,Nicht-ORSY,181,2144.0467955801105,15.03867403314917,2.867403314917127,0.2204455885216669,0.6321322040311871,0.09052927688893747,0.05761814309497788,-0.0007252125367693568
14,68139,ORSY,17,16817.285294117646,83.82352941176471,7.176470588235294,0.38894138411241946,0.3445554748944993,0.16702356307392546,0.10272224651056439,-0.003242668591408622
14,68150,Nicht-ORSY,125,2288.5146400000003,14.496,3.304,0.4959725403554227,0.3534910975179765,0.11892214497804246,0.03198014539728335,-0.0003659282487250925
14,68150,ORSY,25,13193.0168,57.2,6.04,0.6272744643231298,0.1088433521809246,0.2271713508995127,0.03790108324457559,-0.0011902506481426575
15,60393,Nicht-ORSY,174,2507.104195402299,15.218390804597702,4.172413793103448,0.19974243524877353,0.5340406987943517,0.1788109431021046,0.08754164482291658,-0.00013572196814645544
15,60393,ORSY,11,14691.705454545456,80.0,6.363636363636363,0.45255564540688265,0.3403231064314274,0.1947107286984939,0.012909373274647916,-0.0004988538114518523
15,60394,Nicht-ORSY,182,2020.1915934065935,13.978021978021978,3.6648351648351647,0.26124042908083506,0.6826174429708749,0.04023568115698258,0.017790262255753336,-0.0018838154644458798
15,60394,ORSY,28,32168.41107142857,99.46428571428571,6.535714285714286,0.3057050154457646,0.50914111980331,0.10708788110344027,0.0801297204439108,-0.0020637367964256733
15,60846,Nicht-ORSY,225,4152.621377777778,22.4,5.088888888888889,0.2556050667540796,0.5644411659198054,0.17133807412170307,0.06364736657743844,-0.05503167337302663
15,60846,ORSY,20,36901.659,127.35,6.9,0.352805319403054,0.4229949363634765,0.16628055207176376,0.058289407376605984,-0.00037021521490017276
15,61947,Nicht-ORSY,5,255.32,1.6,3.4,0.0,0.8,0.2,0.0,0.0
